timestamp,building_id,energy_kwh
2025-01-01 00:00:00,B001,14.08
2025-01-01 01:00:00,B001,16.17
2025-01-01 02:00:00,B001,15.25
2025-01-01 03:00:00,B001,15.52
2025-01-01 04:00:00,B001,15.13
2025-01-01 05:00:00,B001,16.82
2025-01-01 06:00:00,B001,15.03
2025-01-01 07:00:00,B001,17.0
2025-01-01 08:00:00,B001,6.15
2025-01-01 09:00:00,B001,7.51
2025-01-01 10:00:00,B001,7.59
2025-01-01 11:00:00,B001,7.73
2025-01-01 12:00:00,B001,7.76
2025-01-01 13:00:00,B001,7.39
2025-01-01 14:00:00,B001,6.68
2025-01-01 15:00:00,B001,5.82
2025-01-01 16:00:00,B001,6.41
2025-01-01 17:00:00,B001,5.06
2025-01-01 18:00:00,B001,5.37
2025-01-01 19:00:00,B001,5.26
2025-01-01 20:00:00,B001,5.5
2025-01-01 21:00:00,B001,15.26
2025-01-01 22:00:00,B001,15.06
2025-01-01 23:00:00,B001,15.88
2025-01-02 00:00:00,B001,14.73
2025-01-02 01:00:00,B001,14.56
2025-01-02 02:00:00,B001,15.01
2025-01-02 03:00:00,B001,14.94
2025-01-02 04:00:00,B001,14.69
2025-01-02 05:00:00,B001,16.76
2025-01-02 06:00:00,B001,17.34
2025-01-02 07:00:00,B001,22.56
2025-01-02 08:00:00,B001,6.59
2025-01-02 09:00:00,B001,7.04
2025-01-02 10:00:00,B001,7.92
2025-01-02 11:00:00,B001,7.89
2025-01-02 12:00:00,B001,7.14
2025-01-02 13:00:00,B001,7.65
2025-01-02 14:00:00,B001,7.82
2025-01-02 15:00:00,B001,7.12
2025-01-02 16:00:00,B001,6.37
2025-01-02 17:00:00,B001,4.75
2025-01-02 18:00:00,B001,5.47
2025-01-02 19:00:00,B001,4.68
2025-01-02 20:00:00,B001,4.69
2025-01-02 21:00:00,B001,16.29
2025-01-02 22:00:00,B001,14.82
2025-01-02 23:00:00,B001,14.84
2025-01-03 00:00:00,B001,15.85
2025-01-03 01:00:00,B001,14.42
2025-01-03 02:00:00,B001,14.5
2025-01-03 03:00:00,B001,14.77
2025-01-03 04:00:00,B001,14.09
2025-01-03 05:00:00,B001,15.26
2025-01-03 06:00:00,B001,15.16
2025-01-03 07:00:00,B001,17.36
2025-01-03 08:00:00,B001,6.15
2025-01-03 09:00:00,B001,6.96
2025-01-03 10:00:00,B001,7.14
2025-01-03 11:00:00,B001,7.36
2025-01-03 12:00:00,B001,7.21
2025-01-03 13:00:00,B001,7.22
2025-01-03 14:00:00,B001,7.98
2025-01-03 15:00:00,B001,6.17
2025-01-03 16:00:00,B001,5.33
2025-01-03 17:00:00,B001,5.79
2025-01-03 18:00:00,B001,5.04
2025-01-03 19:00:00,B001,4.48
2025-01-03 20:00:00,B001,4.97
2025-01-03 21:00:00,B001,15.5
2025-01-03 22:00:00,B001,15.11
2025-01-03 23:00:00,B001,15.73
2025-01-04 00:00:00,B001,15.11
2025-01-04 01:00:00,B001,15.14
2025-01-04 02:00:00,B001,16.02
2025-01-04 03:00:00,B001,13.85
2025-01-04 04:00:00,B001,14.63
2025-01-04 05:00:00,B001,15.21
2025-01-04 06:00:00,B001,16.32
2025-01-04 07:00:00,B001,19.03
2025-01-04 08:00:00,B001,5.52
2025-01-04 09:00:00,B001,6.51
2025-01-04 10:00:00,B001,8.29
2025-01-04 11:00:00,B001,6.72
2025-01-04 12:00:00,B001,7.72
2025-01-04 13:00:00,B001,5.77
2025-01-04 14:00:00,B001,7.67
2025-01-04 15:00:00,B001,6.53
2025-01-04 16:00:00,B001,5.62
2025-01-04 17:00:00,B001,5.67
2025-01-04 18:00:00,B001,6.46
2025-01-04 19:00:00,B001,4.96
2025-01-04 20:00:00,B001,5.01
2025-01-04 21:00:00,B001,16.46
2025-01-04 22:00:00,B001,15.56
2025-01-04 23:00:00,B001,14.34
2025-01-05 00:00:00,B001,15.9
2025-01-05 01:00:00,B001,14.15
2025-01-05 02:00:00,B001,14.74
