hour,day_of_week,is_weekend,temperature,energy_kwh
0,0,0,24.956803487154207,38.577655543984505
1,0,0,29.436214959673315,41.54640242926407
2,0,0,24.473857334995287,18.50257259773434
3,0,0,18.267957366235976,25.142950613539856
4,0,0,16.036949286389152,38.013332082672086
5,0,0,16.490136868670113,14.241615036617263
6,0,0,21.671195300146366,12.825872448303706
7,0,0,21.262879454143814,43.42607172605818
8,0,0,22.051506536780536,25.946634368569093
9,0,0,23.492417010259587,37.333363884219324
10,0,0,19.375654809621068,23.31888957872087
11,0,0,17.506229704667998,34.61434048380996
12,0,0,29.053787662324282,19.943579242640116
13,0,0,18.459504729235956,24.865834856398553
14,0,0,15.235591349198554,43.13296504439336
15,0,0,16.252489690126737,37.321763300933846
16,0,0,22.106718834444216,26.951382897985795
17,0,0,19.945616824709262,23.56352938929358
18,0,0,27.991706212808783,24.913029509116804
19,0,0,15.420988259684071,37.414598590727124
20,0,0,20.769866536093218,16.15879249150353
21,0,0,26.581896553273694,13.212034304294114
22,0,0,20.68785181874813,43.218469780800575
23,0,0,17.745319547190814,18.7966735860333
0,1,0,19.24426686192051,49.22176148511093
1,1,0,28.308253988844776,18.86953858156458
2,1,0,27.559377065487332,28.235780521673995
3,1,0,24.37132684525732,35.54386816581216
4,1,0,16.590103928214514,49.33843520842693
5,1,0,16.403899351812406,40.73668949599275
6,1,0,29.74914399051349,18.929361296714283
7,1,0,21.050615568180266,48.78399138605785
8,1,0,25.12177449557243,16.070706128627414
9,1,0,15.847400360415627,37.50910926390911
10,1,0,28.157767476838607,44.78851801447285
11,1,0,16.979333982460354,39.11631738983836
12,1,0,28.320042677607734,46.76815175361818
13,1,0,24.07160730883951,10.825377788947147
14,1,0,15.156481376812858,46.22855097881969
15,1,0,25.731045381784394,24.622830995198136
16,1,0,19.176677263203572,23.081193209729427
17,1,0,26.38174716969327,45.17969631130134
18,1,0,24.205133558090555,39.329864162420286
19,1,0,26.482235630933303,44.64009600486826
20,1,0,26.241595813991726,28.51527989851158
21,1,0,23.23984744241063,33.16024454460773
22,1,0,25.602926159221695,48.99474363951589
23,1,0,20.53591382233442,10.002762292146548
0,2,0,17.608367850568033,18.36025862510066
1,2,0,16.925562480675044,24.231653049967484
2,2,0,17.90386960795915,14.55204381864251
3,2,0,22.661752852687506,26.371918325715278
4,2,0,29.902992470475873,39.73617271895369
5,2,0,27.816079852429965,10.993720299317573
6,2,0,26.174695054172105,16.850509920313694
7,2,0,19.196795118550348,32.50563213657924
8,2,0,15.132535990335366,40.741775222735846
9,2,0,18.45849578536277,25.007241350693505
10,2,0,25.495600329315707,14.534948389362125
11,2,0,15.614703973315917,11.912202415597793
12,2,0,18.917956637921968,24.84104869871883
13,2,0,25.14669572916359,15.989189478787203
14,2,0,21.445734112295455,23.489439523739257
15,2,0,29.38586113791074,27.719977496253478
16,2,0,28.25213624335273,25.927446745935097
17,2,0,17.799255251653246,45.19802029838635
18,2,0,18.49638154370164,10.305401253006465
19,2,0,23.66510112431803,23.942837981777313
20,2,0,25.04191192126185,33.6186231277884
21,2,0,21.845305482641976,38.670056187407766
22,2,0,28.89178174401215,48.49794364026701
23,2,0,29.576549985803076,38.45032398809644
0,3,0,25.86057773091313,36.73585948971939
1,3,0,17.144283439810934,46.15733686925013
2,3,0,20.59570503384426,32.15386893336745
3,3,0,17.62836857535549,14.511336361084872
4,3,0,15.70597482326773,24.55050898372642
5,3,0,18.437716454281894,47.34124859409695
6,3,0,28.275349771810063,22.767385089161174
7,3,0,27.135290042659374,15.600109116047648
8,3,0,27.77936291284805,31.449778335814518
9,3,0,17.315471038938828,35.20289618662148
10,3,0,22.984229692018154,20.01501827911514
11,3,0,26.575566879189125,16.93918439700669
12,3,0,27.533429476799014,27.04797826815421
13,3,0,15.284804233929982,16.386597825290217
14,3,0,15.109593315762565,32.759913415242025
15,3,0,16.66967504828191,42.879271860809006
16,3,0,18.85390169302859,23.606917584286276
17,3,0,24.8828203298514,37.04152407110769
