timestamp,building_id,energy_kwh
2025-01-01 00:00:00,B001,3.24
2025-01-01 01:00:00,B001,3.08
2025-01-01 02:00:00,B001,2.92
2025-01-01 03:00:00,B001,2.81
2025-01-01 04:00:00,B001,2.38
2025-01-01 05:00:00,B001,2.49
2025-01-01 06:00:00,B001,2.07
2025-01-01 07:00:00,B001,1.84
2025-01-01 08:00:00,B001,2.34
2025-01-01 09:00:00,B001,5.08
2025-01-01 10:00:00,B001,8.34
2025-01-01 11:00:00,B001,8.27
2025-01-01 12:00:00,B001,8.35
2025-01-01 13:00:00,B001,8.81
2025-01-01 14:00:00,B001,8.13
2025-01-01 15:00:00,B001,6.82
2025-01-01 16:00:00,B001,6.83
2025-01-01 17:00:00,B001,4.24
2025-01-01 18:00:00,B001,3.79
2025-01-01 19:00:00,B001,2.05
2025-01-01 20:00:00,B001,2.16
2025-01-01 21:00:00,B001,2.62
2025-01-01 22:00:00,B001,2.68
2025-01-01 23:00:00,B001,2.78
2025-01-02 00:00:00,B001,2.43
2025-01-02 01:00:00,B001,2.75
2025-01-02 02:00:00,B001,2.47
2025-01-02 03:00:00,B001,2.32
2025-01-02 04:00:00,B001,2.15
2025-01-02 05:00:00,B001,2.34
2025-01-02 06:00:00,B001,2.23
2025-01-02 07:00:00,B001,1.89
2025-01-02 08:00:00,B001,2.23
2025-01-02 09:00:00,B001,5.17
2025-01-02 10:00:00,B001,9.49
2025-01-02 11:00:00,B001,8.03
2025-01-02 12:00:00,B001,9.19
2025-01-02 13:00:00,B001,9.12
2025-01-02 14:00:00,B001,8.78
2025-01-02 15:00:00,B001,7.37
2025-01-02 16:00:00,B001,7.37
2025-01-02 17:00:00,B001,4.61
2025-01-02 18:00:00,B001,4.39
2025-01-02 19:00:00,B001,2.5
2025-01-02 20:00:00,B001,2.15
2025-01-02 21:00:00,B001,2.62
2025-01-02 22:00:00,B001,2.43
2025-01-02 23:00:00,B001,2.5
2025-01-03 00:00:00,B001,2.58
2025-01-03 01:00:00,B001,2.96
2025-01-03 02:00:00,B001,2.7
